F1,F2,F3,F4,F5,F6,Class
23.0,32.0,48.0,55.0,25.0,35.0,0
25.0,4.0,48.0,46.0,44.0,52.0,0
41.0,57.0,48.0,39.0,21.0,32.0,0
4.0,45.0,48.0,38.0,22.0,0.0,0
51.0,54.0,48.0,41.0,34.0,43.0,0
38.0,46.0,48.0,48.0,22.0,29.0,0
3.0,37.0,48.0,59.0,41.0,49.0,0
42.0,35.0,48.0,58.0,15.0,27.0,0
23.0,33.0,48.0,43.0,33.0,43.0,0
22.0,36.0,48.0,35.0,39.0,47.0,0
23.0,58.0,48.0,37.0,53.0,59.0,0
4.0,35.0,48.0,45.0,33.0,42.0,0
44.0,56.0,48.0,5.0,46.0,54.0,0
36.0,41.0,48.0,48.0,47.0,54.0,0
24.0,43.0,48.0,54.0,52.0,59.0,0
52.0,57.0,48.0,42.0,47.0,54.0,0
25.0,37.0,48.0,43.0,26.0,36.0,0
26.0,26.0,48.0,34.0,25.0,35.0,0
44.0,51.0,48.0,47.0,26.0,36.0,0
41.0,48.0,48.0,51.0,44.0,51.0,0
34.0,28.0,48.0,41.0,35.0,44.0,0
34.0,55.0,48.0,58.0,31.0,41.0,0
53.0,42.0,48.0,16.0,29.0,39.0,0
4.0,42.0,48.0,37.0,27.0,27.0,0
65.0,55.0,48.0,34.0,37.0,28.0,0
38.0,26.0,48.0,54.0,16.0,28.0,0
41.0,51.0,48.0,58.0,2.0,31.0,0
24.0,41.0,48.0,49.0,23.0,34.0,0
39.0,31.0,48.0,38.0,34.0,43.0,0
4.0,41.0,48.0,55.0,22.0,33.0,0
16.0,43.0,48.0,54.0,27.0,37.0,0
69.0,43.0,48.0,59.0,74.0,77.0,0
64.0,46.0,48.0,48.0,73.0,76.0,0
63.0,42.0,48.0,48.0,77.0,8.0,0
7.0,53.0,48.0,7.0,86.0,87.0,0
88.0,42.0,48.0,52.0,73.0,75.0,0
75.0,76.0,48.0,83.0,57.0,3.0,1
77.0,57.0,48.0,88.0,53.0,2.0,1
64.0,57.0,48.0,7.0,33.0,26.0,1
71.0,71.0,48.0,68.0,43.0,36.0,1
