F1,F2,F3,F4,F5,F6,F7,F8,F9,Class
73,-45,88,-1,8,0,15,81,66,0
44,-37,77,0,-2,0,33,79,46,0
81,-28,89,2,8,0,8,81,72,0
53,-73,88,0,6,-30,35,83,48,0
55,1029,75,-3,28,26,20,46,26,1
43,-33,77,0,-2,0,34,79,46,0
37,-75,112,105,34,14,75,78,4,0
62,66,82,0,-42,-8,20,126,106,0
37,-70,106,0,34,-2,69,72,4,0
45,-29,89,1,6,-2,44,84,40,0
43,-58,76,0,42,0,33,35,2,0
47,-49,77,0,-2,0,30,79,50,0
45,-64,77,-3,44,-4,32,34,2,0
47,33,77,0,28,0,30,48,18,0
37,-100,106,-1,30,1,69,75,6,0
45,-27,81,0,44,0,36,37,2,0
50,24,77,0,-22,0,27,101,74,0
58,-70,88,0,8,0,30,81,50,0
74,-42,107,0,62,-1,33,45,12,0
71,-33,107,0,60,-21,36,47,12,0
49,-42,77,0,-2,0,28,79,52,0
37,-118,106,3,30,-16,69,75,6,0
43,29,77,0,28,0,34,48,14,0
68,-60,88,0,8,0,21,81,60,0
57,-71,88,0,8,0,32,81,48,0
37,-82,76,0,36,0,39,40,2,0
37,-80,106,-1,34,-2,69,72,4,0
37,-56,106,0,34,-1,69,72,4,0
64,-63,88,0,8,0,24,81,56,0
37,-105,106,0,34,0,69,72,4,0
51,23,77,0,28,0,26,48,22,0
45,-49,77,0,-2,0,32,79,48,0
50,23,77,0,-22,0,27,101,74,0
37,-110,106,0,34,-3,69,72,4,0
37,-37,106,-3,34,-6,69,72,4,0
48,45,77,0,-22,0,29,101,72,0
71,-35,107,0,60,-26,35,47,12,0
64,1532,106,-2,34,-35,42,72,30,1
45,-44,79,2,0,0,34,79,44,0
57,92,80,0,34,0,23,46,24,0
37,-66,77,0,20,0,40,57,16,0
88,-39,107,0,64,-11,19,42,24,0
43,-32,91,0,2,0,48,88,40,0
44,27,77,0,28,0,33,48,16,0
37,-48,106,-362,30,-22,69,75,6,0
79,-40,107,0,62,-6,28,45,16,0
